Latitude,ZipCode,City,Longitude,County,State,ZipCodeClass
42.5222,01302,GREENFIELD,-72.6242,FRANKLIN,MA,STANDARD
42.5624,01330,ASHFIELD,-72.7382,FRANKLIN,MA,STANDARD
42.5473,01331,ATHOL,-72.1839,WORCESTER,MA,STANDARD
42.6271,01337,BERNARDSTON,-72.6429,FRANKLIN,MA,STANDARD
42.5738,01338,BUCKLAND,-72.7695,FRANKLIN,MA,STANDARD
42.5943,01339,CHARLEMONT,-72.6655,FRANKLIN,MA,STANDARD
42.6815,01340,COLRAIN,-72.8230,FRANKLIN,MA,STANDARD
42.5908,01341,CONWAY,-72.7098,FRANKLIN,MA,STANDARD
42.5472,01342,DEERFIELD,-72.6077,FRANKLIN,MA,STANDARD
42.6427,01343,DRURY,-72.9862,BERKSHIRE,MA,STANDARD
42.6271,01344,ERVING,-72.5537,FRANKLIN,MA,STANDARD
42.6180,01346,HEATH,-72.7889,FRANKLIN,MA,STANDARD
42.5566,01347,LAKE PLEASANT,-72.5181,FRANKLIN,MA,PO BOX ONLY
42.6214,01349,TURNERS FALLS,-72.7056,FRANKLIN,MA,STANDARD
42.7215,01350,MONROE BRIDGE,-72.9762,FRANKLIN,MA,PO BOX ONLY
42.5481,01351,MONTAGUE,-72.4869,FRANKLIN,MA,STANDARD
42.5222,01354,NORTHFIELD,-72.6242,FRANKLIN,MA,STANDARD
42.5187,01355,NEW SALEM,-72.5344,FRANKLIN,MA,STANDARD
42.6142,01360,NORTHFIELD,-72.5282,FRANKLIN,MA,STANDARD
42.5783,01364,ORANGE,-72.5566,FRANKLIN,MA,STANDARD
42.4596,01366,PETERSHAM,-72.1830,WORCESTER,MA,STANDARD
42.6831,01367,ROWE,-72.7157,FRANKLIN,MA,STANDARD
42.6722,01368,ROYALSTON,-72.1964,WORCESTER,MA,STANDARD
42.5222,01369,SHATTUCKVILLE,-72.6242,FRANKLIN,MA,STANDARD
